Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM831223,0.0224254118157299,0.00648516952901834,0.210078549153427,0.146305547644783,0,0.378014723616975,0.159433962237881,0.0284879481055583,0,0,0,0.00653569838394096,0.00021331338394981,0.00305937556032879,0,0.0168609909456036,0,0.00970955629473211,0,0,0.0123897533280724,0,0,0.559789212522508,0.830469487835317
GSM831224,0.0310985776592647,0,0,0.0665144420534502,0.219567663028897,0.379481956354903,0.0387292313888025,0.0144482264523812,0.0714158362363095,0,0.0856252455620462,0,0.073367988284861,0.00728344188088202,0.000616102424565092,0,0.00192636218202237,0.00244856821496924,0,0.00747635827664609,0,0,0,0.433723414591111,0.911213465262825
GSM831225,0,0.0635666327441382,0,0.0649396494996432,0.174048847621249,0.362205295133586,0.00294644249152456,0.0438518559145609,0.09215356365239,0,0,0.0475061265592216,0.114988286667932,0.00170341680474402,0,0,0,0.00419503854761583,0.0157808373844629,0,0,0.0121140069789322,0,0.468173400789966,0.886659602032568
GSM831226,0.00960031972849193,0,0,0.0809783085965768,0.0765799926036011,0.287801846101308,0.0223857221146504,0.0281610770818484,0.190917438535597,0,0.0663959423055828,0.000184975938807697,0.130980326320024,0.0456390101106975,0,0.0237938214663387,0,7.29370365497716e-05,0,0.0150578919005182,0.0214503901594083,0,0,0.279145271988211,0.984365154221561
GSM831227,0,0.0122890156173866,0.0335669664152706,0.0870179248016107,0.17460286090918,0.0905723611752981,0.048618677044413,0.0260704785365704,0.048631478246237,0,0.100169129421603,0,0.285155542035492,0.0694230700693926,0,0,0,0.0105992100246286,0,0.0132832857029175,0,0,0,0.455368675688768,0.889952407545761
GSM831228,0,0.00674324657028231,0.0186834604963344,0.0454251617645911,0.0658741464015816,0.278220051870856,0.0532378387007654,0.176482929312238,0.0477783303913304,0,0.0202907023633886,0,0.22706349691963,0,0,0.00331911778325245,0,0.00447713757657171,0,0.0309203323559238,0.0214840474932537,0,0,0.492525858719664,0.870136629597024
GSM831229,0,0,0.0113469882124962,0.0866812864865632,0,0.396083252607893,0.148623734569052,0,0,0,0.0511862297913131,0.00954293926425403,0.255268442147099,0.00425412464823425,0,0,0,0.000937765197119584,0,0.0193781934565987,0.00740880183355199,0.00928824178582544,0,0.333541273701539,0.953326402101845
GSM831230,0.0685047850812104,0,0.00155027887674114,0.122485643820724,0.0544953517349408,0.159876895670445,0.184061463966111,0.0151429029415578,0.00828699687182213,0,0.0544458683828295,0,0.214039602294522,0.0252572869565035,0,0.0235039606229756,0,0.0160780221767635,0,0.00618166367630351,0.0119522725548029,0.034137004371747,0,0.410511913828605,0.911586342419002
GSM831231,0.0247268481760501,0,0.0082714029382685,0.0504893711608559,0,0.147703342541316,0.0719886606790062,0.092958952830175,0.119359911572588,0,0.0200880254810049,0.0255740317583437,0.347425664342628,0.000254839403096967,0,0,0,0.00153260923526542,0,0.071937715954515,0.00408676739918337,0.0136018565277031,0,0.50209588042759,0.865497385353373
GSM831232,0.0032422188114179,0,0.000522797926967626,0.091046099056769,0,0.0865942313510272,0.0526140058302066,0,0,0.00117964946244533,0.0352772540042481,0.0229238631636302,0.64484115758739,0.0361279173999609,0,0,0,0,0,0.0245860004402642,0.0010448049656732,0,0,0.665020892178409,0.751252544772025
GSM831233,0.0225680724427387,0,0,0.150594838865194,0,0.313451919910881,0.12418362597515,0.00392464414147825,0.171471769597123,0,0.0711029563254424,0.021284148516852,0.0863773188664513,0.00229815280092501,0,0.00901029074961246,0,0.000937113724232437,0.013986938110543,0,0.00880820997337722,0,0,0.384943244926417,0.93396375550325
GSM831234,0.0122249771865608,0,0.00414561195071692,0,0.246845541719163,0.344220753663478,0.0697084353616461,0.0114165632031526,0.0178419081253414,0,0.185725558446426,0,0.044332007415739,0.00881695327651403,6.30636414943579e-05,0.00744782016502814,0.0044679298228081,0.00185118738940634,0,0.0147875965377885,0.0261040920947363,0,0,0.277075764514586,1.00022602119304
GSM831235,0.0411001686338713,0,0,0.319906293079838,0,0.210372490249527,0.105732106766232,0,0,0,0.146261804346494,0.0399727087972533,0.106847207979282,0.00221378603071449,0,0.0132989379060824,0,0.005250074636978,0,0,0.00904442157372812,0,0,0.461437702290456,0.894569578818214
GSM831236,0.0221519523127425,0,0,0.130060193841694,0.153577890030113,0.141348619794422,0.0469824676088103,0.0496965546232972,0.0237286706092486,0,0,0.142808605703815,0.171945422444236,0.0120565537709878,0,0,0,0,0,0.0880229838840595,0.00360275403330288,0.0140173313432707,0,0.429661152059529,0.906821162459845
GSM831237,0.0172315450036726,0,0,0.187345966634494,0.0458754011789786,0.164789137132628,0.102244464532154,0.0214770251291563,0.0271891444206897,0,0.099339157352812,0,0.299369981612865,0.0219001318847987,0,0,0,0,0,0.00153365783403926,0,0.0117043872837114,0,0.385344998998403,0.927793104403076
GSM831238,0.0440835600418337,0,0.00526730197807119,0.0500955289311864,0.0264958519046333,0.360312563510157,0.101109711697233,0.0208539000815496,0.121984941770023,0,0.089943780604736,0,0.127640970990176,0.00336820597119554,0,0,0,0,0,0.0215128137688292,0.02608949615563,0.00124137259474602,0,0.290656520847359,0.977181984592089
GSM831239,0.0376150681750139,0,0,0.0853562039876975,0.143226034134746,0.305105327304504,0.131473877446219,0,0.00934792701999011,0,0.109174634480543,0,0.12562919435031,0.00232846241393537,0,0.00597700572405472,0.00199095570198413,0.0101406996233323,0,0.0253407670883984,0.00729384254927085,0,0,0.38673770034195,0.928946582989499
