set,n_genes,CSI,collection,z,pct,risk
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX,16,9.47655667828703,Reactome,16.629356969662865,1.0,high
KEGG_MEDICUS_REFERENCE_CCR_CXCR_GNB_G_PI3K_RAC_SIGNALING_PATHWAY,30,9.388445706042592,KEGG_MEDICUS,15.363710431209654,1.0,high
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,948,7.064108648985737,Reactome,12.802895043136752,1.0,high
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,122,6.966257122539552,KEGG,14.388519579874155,1.0,high
KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_PI3K_AKT_SIGNALING_PATHWAY,25,6.27477860722065,KEGG_MEDICUS,10.256992067225507,1.0,high
REACTOME_IRAK4_DEFICIENCY_TLR2_4,16,5.961682800603711,Reactome,10.475402526607821,1.0,high
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,71,5.410249223477708,KEGG,8.935425614211804,1.0,high
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1,23,5.105665192077651,Reactome,8.33953180021435,1.0,high
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND,17,5.03972419509378,Reactome,8.861207692274178,1.0,high
KEGG_LYSOSOME,120,4.971910947657856,KEGG,10.222006781992894,1.0,high
REACTOME_RHOQ_GTPASE_CYCLE,59,4.888923067219456,Reactome,9.50430411065097,1.0,high
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,35,4.661183269219992,Reactome,7.610538004193257,1.0,high
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,186,4.604732224125318,Reactome,9.610304863371464,1.0,high
KEGG_LEISHMANIA_INFECTION,70,4.413417426413201,KEGG,7.270240240257757,1.0,high
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,56,4.358926789225834,Reactome,8.46219312620061,1.0,high
