contrast,set,mean_log2,ci_lo,ci_hi,z_matched,p_matched
H3K27ac Jurkat,clear,0.21849454912377994,0.018186290009188973,0.45270648202165237,1.7277703467768162,0.0777
H3K27ac Jurkat,elongation,0.07328536134669171,-0.17417203684590063,0.31398085828111055,0.9597949521338752,0.3365
H3K27ac Jurkat,fusion,0.16117187588070486,-0.024585378194791428,0.3446658153780395,1.2926953779924097,0.193
H3K27ac Jurkat,initiation,0.21626542441433882,-0.030901609063712192,0.4462369227566007,1.4570618055416744,0.1355
H3K27ac Jurkat,NF-kB benchmark,1.2987941674424546,1.0058805005476394,1.586372221889182,8.633486429010008,5e-05
H3K27ac TL-Om1,clear,0.09644923749639515,-0.1122843867493302,0.3065633613235664,1.0095073456341865,0.3023
H3K27ac TL-Om1,elongation,0.013445781233079435,-0.10623850227866398,0.11805104480551631,0.42993181191484287,0.6415
H3K27ac TL-Om1,fusion,-0.02312466420836416,-0.11132272081325632,0.06718292232778536,-0.07415925744993068,0.937
H3K27ac TL-Om1,initiation,0.07899594310195955,-0.04270467262974046,0.20683171204017042,1.1403689600691032,0.2473
H3K27ac TL-Om1,NF-kB benchmark,0.14491998853058702,0.03416926299410539,0.26785188298013607,2.451624421638285,0.0141
ATAC empty,clear,0.07918846492167698,-0.0072457268722898325,0.17229009164870854,0.7039846196361991,0.4786
ATAC empty,elongation,0.032173706071668536,-0.04757630878898356,0.10984652815148901,0.9259358906412525,0.3511
ATAC empty,fusion,-0.05126199724777204,-0.15802550960703907,0.048485489021455316,-0.9217302920534535,0.3538
ATAC empty,initiation,0.020018378175938625,-0.19231202147617457,0.18617465466059735,0.3193990479241521,0.7691
ATAC empty,NF-kB benchmark,0.20159110241885803,-0.0016782266248864153,0.4606717161879833,2.7990416725061347,0.004
ATAC IRF4,clear,0.09180451317508477,-0.1038906799142481,0.31979191026824155,0.4792384971104123,0.6302
ATAC IRF4,elongation,0.1715102201090092,-0.004993655077921423,0.35694385135890233,2.1841253906828704,0.0296
ATAC IRF4,fusion,-0.04802615074077795,-0.2934074688426028,0.25003079392027444,-0.16891964455897987,0.8694
ATAC IRF4,initiation,-0.19861858119940348,-0.42673441629767134,0.005802921398711622,-1.4625970058577822,0.1446
ATAC IRF4,NF-kB benchmark,-0.04397288027270761,-0.19449136969865083,0.11961249738290211,-0.21702234147159746,0.8335
