gene,log2FC_ATL_vs_ctrl,p,rho_with_monocyte_score,q
ATP6V0E1,0.1273986331589274,0.3835847616040907,0.07594468055792183,0.4155501584044316
ATP6V1A,0.32458056202850827,0.012061206895345516,0.14480859565249082,0.026132614939915283
ATP6V1H,0.2655765793476377,0.009441174636728984,0.08709804315052339,0.02454705405549536
CTSB,0.7163069904183068,7.1034668441011165e-06,0.4561890657781069,3.0781689657771506e-05
CTSD,0.3460044605792838,0.10638576563929682,0.6508700481303222,0.13870985717962717
CTSF,-0.5631323379729594,0.1090522960483141,-0.08805380723188944,0.13870985717962717
GBA,0.458324314232331,0.04906062054451242,-0.014470061012254861,0.09111258101123736
HEXA,0.606640935488997,4.6812369988039536e-07,0.2081327903245712,6.08560809844514e-06
MCOLN1,0.49488852450045684,0.00012069848524229048,0.4324632852030113,0.0003922700770374441
NBR1,-0.022328065099973315,0.6875763557071353,-0.19206145968994692,0.6875763557071353
SQSTM1,-0.7493405613693778,5.642958003212295e-06,-0.13306902589734584,3.0781689657771506e-05
TFE3,0.15563186672505847,0.11736987915199222,0.18881895594224365,0.13870985717962717
TFEB,0.22779748046422021,0.08799652229496434,0.2933966848529586,0.13870985717962717
