set,frac,cohens_d,p,q
clear,0.02,0.3852089568866595,0.125,0.135
elongation,0.02,0.12105219922226321,0.125,0.135
fusion,0.02,0.04045662157049528,0.125,0.135
initiation,0.02,-0.09460235808903147,0.125,0.135
TNFA_SIGNALING_VIA_NFKB,0.02,2.397520000349318,0.125,0.135
HYPOXIA,0.02,1.6500883533510757,0.125,0.135
CHOLESTEROL_HOMEOSTASIS,0.02,0.44460383604522274,0.125,0.135
MITOTIC_SPINDLE,0.02,0.09193502382721133,0.25,0.25471698113207547
WNT_BETA_CATENIN_SIGNALING,0.02,1.0445851087322582,0.125,0.135
TGF_BETA_SIGNALING,0.02,3.7922870228828405,0.125,0.135
IL6_JAK_STAT3_SIGNALING,0.02,6.633116465043056,0.125,0.135
DNA_REPAIR,0.02,0.5605414117477137,0.125,0.135
G2M_CHECKPOINT,0.02,-0.19163850103864377,0.125,0.135
APOPTOSIS,0.02,2.7354887127919967,0.125,0.135
NOTCH_SIGNALING,0.02,1.6111120143487343,0.125,0.135
ADIPOGENESIS,0.02,1.7331923116634274,0.125,0.135
ESTROGEN_RESPONSE_EARLY,0.02,1.6908027726451047,0.125,0.135
ESTROGEN_RESPONSE_LATE,0.02,4.633819333857119,0.125,0.135
ANDROGEN_RESPONSE,0.02,1.743325188014709,0.125,0.135
MYOGENESIS,0.02,4.090556083247736,0.125,0.135
PROTEIN_SECRETION,0.02,0.7641480786672182,0.125,0.135
INTERFERON_ALPHA_RESPONSE,0.02,0.6322051075385696,0.125,0.135
INTERFERON_GAMMA_RESPONSE,0.02,2.203491042671441,0.125,0.135
APICAL_JUNCTION,0.02,3.019162312853169,0.125,0.135
APICAL_SURFACE,0.02,1.5520606300051025,0.25,0.25471698113207547
HEDGEHOG_SIGNALING,0.02,3.3615747984040407,0.125,0.135
COMPLEMENT,0.02,10.718256236302418,0.125,0.135
UNFOLDED_PROTEIN_RESPONSE,0.02,1.1463621161292452,0.125,0.135
PI3K_AKT_MTOR_SIGNALING,0.02,-0.05184600445961814,0.875,0.875
MTORC1_SIGNALING,0.02,0.8209119508178979,0.125,0.135
E2F_TARGETS,0.02,-0.3674980210622433,0.125,0.135
MYC_TARGETS_V1,0.02,-0.2861587101750255,0.125,0.135
MYC_TARGETS_V2,0.02,-0.22064729271171946,0.125,0.135
EPITHELIAL_MESENCHYMAL_TRANSITION,0.02,2.685871854032082,0.125,0.135
INFLAMMATORY_RESPONSE,0.02,6.4239760875659355,0.125,0.135
XENOBIOTIC_METABOLISM,0.02,2.5848091834953526,0.125,0.135
FATTY_ACID_METABOLISM,0.02,1.966137659289071,0.125,0.135
OXIDATIVE_PHOSPHORYLATION,0.02,-0.06666243675358088,0.25,0.25471698113207547
GLYCOLYSIS,0.02,1.3429243522851602,0.125,0.135
REACTIVE_OXYGEN_SPECIES_PATHWAY,0.02,3.259348522232647,0.125,0.135
P53_PATHWAY,0.02,2.744528577663019,0.125,0.135
UV_RESPONSE_UP,0.02,1.1679146172839965,0.125,0.135
UV_RESPONSE_DN,0.02,1.4046966572388526,0.125,0.135
ANGIOGENESIS,0.02,2.7559986012597513,0.125,0.135
HEME_METABOLISM,0.02,2.30933722448051,0.125,0.135
COAGULATION,0.02,4.051329988133658,0.125,0.135
IL2_STAT5_SIGNALING,0.02,1.7365407672855202,0.125,0.135
BILE_ACID_METABOLISM,0.02,1.7423181927752045,0.125,0.135
PEROXISOME,0.02,2.184613222418516,0.125,0.135
ALLOGRAFT_REJECTION,0.02,6.1786580522131045,0.125,0.135
SPERMATOGENESIS,0.02,2.668929498345829,0.125,0.135
KRAS_SIGNALING_UP,0.02,5.141213781419401,0.125,0.135
KRAS_SIGNALING_DN,0.02,2.658794417255169,0.125,0.135
PANCREAS_BETA_CELLS,0.02,1.2737292405183442,0.125,0.135
clear,0.05,0.9262790308863975,0.125,0.135
elongation,0.05,0.33207543303479603,0.125,0.135
fusion,0.05,0.060464665336020164,0.125,0.135
initiation,0.05,-0.19986693019578067,0.125,0.135
TNFA_SIGNALING_VIA_NFKB,0.05,3.1197272228369,0.125,0.135
HYPOXIA,0.05,2.316727472596598,0.125,0.135
CHOLESTEROL_HOMEOSTASIS,0.05,0.8625734276051986,0.125,0.135
MITOTIC_SPINDLE,0.05,0.21159839352297224,0.125,0.135
WNT_BETA_CATENIN_SIGNALING,0.05,1.0931196990462098,0.125,0.135
TGF_BETA_SIGNALING,0.05,4.985263187351767,0.125,0.135
IL6_JAK_STAT3_SIGNALING,0.05,8.7923923059055,0.125,0.135
DNA_REPAIR,0.05,0.3779038494402421,0.25,0.25471698113207547
G2M_CHECKPOINT,0.05,-0.5200064310131172,0.125,0.135
APOPTOSIS,0.05,3.7180365875068566,0.125,0.135
NOTCH_SIGNALING,0.05,2.227498254542825,0.125,0.135
ADIPOGENESIS,0.05,2.467769302943666,0.125,0.135
ESTROGEN_RESPONSE_EARLY,0.05,1.9846518640759903,0.125,0.135
ESTROGEN_RESPONSE_LATE,0.05,5.486063803039291,0.125,0.135
ANDROGEN_RESPONSE,0.05,1.9920603735714615,0.125,0.135
MYOGENESIS,0.05,5.458772081319542,0.125,0.135
PROTEIN_SECRETION,0.05,0.818633191932552,0.125,0.135
INTERFERON_ALPHA_RESPONSE,0.05,0.8575204152327864,0.125,0.135
INTERFERON_GAMMA_RESPONSE,0.05,2.9738848587590976,0.125,0.135
APICAL_JUNCTION,0.05,3.6400054953973844,0.125,0.135
APICAL_SURFACE,0.05,1.8947567373181977,0.125,0.135
HEDGEHOG_SIGNALING,0.05,3.9460511844316684,0.125,0.135
COMPLEMENT,0.05,12.742556870080797,0.125,0.135
UNFOLDED_PROTEIN_RESPONSE,0.05,1.1034826823528505,0.125,0.135
PI3K_AKT_MTOR_SIGNALING,0.05,-0.11523278687779055,0.625,0.625
MTORC1_SIGNALING,0.05,1.3781950485809877,0.125,0.135
E2F_TARGETS,0.05,-0.7814394672216406,0.125,0.135
MYC_TARGETS_V1,0.05,-0.7272687689414024,0.125,0.135
MYC_TARGETS_V2,0.05,-0.5477381362105639,0.125,0.135
EPITHELIAL_MESENCHYMAL_TRANSITION,0.05,3.2889155290142322,0.125,0.135
INFLAMMATORY_RESPONSE,0.05,7.908456039733059,0.125,0.135
XENOBIOTIC_METABOLISM,0.05,3.3721374917777367,0.125,0.135
FATTY_ACID_METABOLISM,0.05,2.330866428845859,0.125,0.135
OXIDATIVE_PHOSPHORYLATION,0.05,-0.14299582061272093,0.25,0.25471698113207547
GLYCOLYSIS,0.05,1.5504311557204684,0.125,0.135
REACTIVE_OXYGEN_SPECIES_PATHWAY,0.05,4.984008404498419,0.125,0.135
P53_PATHWAY,0.05,3.770744667414897,0.125,0.135
UV_RESPONSE_UP,0.05,1.8182272013009257,0.125,0.135
UV_RESPONSE_DN,0.05,1.4992090781251006,0.25,0.25471698113207547
ANGIOGENESIS,0.05,3.429896170727109,0.125,0.135
HEME_METABOLISM,0.05,2.633082940985066,0.125,0.135
COAGULATION,0.05,5.025199620833048,0.125,0.135
IL2_STAT5_SIGNALING,0.05,2.5027222784068957,0.125,0.135
BILE_ACID_METABOLISM,0.05,1.9361902827034592,0.125,0.135
PEROXISOME,0.05,2.347809439587727,0.125,0.135
ALLOGRAFT_REJECTION,0.05,8.259847986603585,0.125,0.135
SPERMATOGENESIS,0.05,1.1959108490384134,0.125,0.135
KRAS_SIGNALING_UP,0.05,6.661009001001577,0.125,0.135
KRAS_SIGNALING_DN,0.05,2.6731379906770343,0.125,0.135
PANCREAS_BETA_CELLS,0.05,1.633693990097912,0.125,0.135
clear,0.1,1.7732292511739167,0.125,0.1323529411764706
elongation,0.1,0.6897916951092183,0.125,0.1323529411764706
fusion,0.1,0.1410341294158976,0.125,0.1323529411764706
initiation,0.1,-0.3152640018067175,0.125,0.1323529411764706
TNFA_SIGNALING_VIA_NFKB,0.1,3.7929507766460353,0.125,0.1323529411764706
HYPOXIA,0.1,3.1277478890654513,0.125,0.1323529411764706
CHOLESTEROL_HOMEOSTASIS,0.1,1.4325385028108775,0.125,0.1323529411764706
MITOTIC_SPINDLE,0.1,0.34860955230997337,0.125,0.1323529411764706
WNT_BETA_CATENIN_SIGNALING,0.1,1.2167591843708172,0.125,0.1323529411764706
TGF_BETA_SIGNALING,0.1,6.343900348436912,0.125,0.1323529411764706
IL6_JAK_STAT3_SIGNALING,0.1,10.620428121361991,0.125,0.1323529411764706
DNA_REPAIR,0.1,0.02345986219075186,0.875,0.875
G2M_CHECKPOINT,0.1,-0.9833638047728259,0.125,0.1323529411764706
APOPTOSIS,0.1,4.723902990931152,0.125,0.1323529411764706
NOTCH_SIGNALING,0.1,3.039314129417045,0.125,0.1323529411764706
ADIPOGENESIS,0.1,3.568758793185352,0.125,0.1323529411764706
ESTROGEN_RESPONSE_EARLY,0.1,2.2593861130796555,0.125,0.1323529411764706
ESTROGEN_RESPONSE_LATE,0.1,6.325635222288441,0.125,0.1323529411764706
ANDROGEN_RESPONSE,0.1,2.3961162279302703,0.125,0.1323529411764706
MYOGENESIS,0.1,7.019919535519715,0.125,0.1323529411764706
PROTEIN_SECRETION,0.1,1.0429691945791928,0.125,0.1323529411764706
INTERFERON_ALPHA_RESPONSE,0.1,1.074698082160076,0.125,0.1323529411764706
INTERFERON_GAMMA_RESPONSE,0.1,3.6340918187175766,0.125,0.1323529411764706
APICAL_JUNCTION,0.1,4.303359784238793,0.125,0.1323529411764706
APICAL_SURFACE,0.1,2.1043628720967047,0.125,0.1323529411764706
HEDGEHOG_SIGNALING,0.1,4.744577979013077,0.125,0.1323529411764706
COMPLEMENT,0.1,14.176626038105708,0.125,0.1323529411764706
UNFOLDED_PROTEIN_RESPONSE,0.1,1.0003708059470364,0.125,0.1323529411764706
PI3K_AKT_MTOR_SIGNALING,0.1,-0.07000235878278512,0.625,0.6367924528301887
MTORC1_SIGNALING,0.1,1.967585343996227,0.125,0.1323529411764706
E2F_TARGETS,0.1,-1.3666671457984585,0.125,0.1323529411764706
MYC_TARGETS_V1,0.1,-1.453498310967231,0.125,0.1323529411764706
MYC_TARGETS_V2,0.1,-1.039833259590474,0.125,0.1323529411764706
EPITHELIAL_MESENCHYMAL_TRANSITION,0.1,3.9802906258230757,0.125,0.1323529411764706
INFLAMMATORY_RESPONSE,0.1,9.155097786733448,0.125,0.1323529411764706
XENOBIOTIC_METABOLISM,0.1,4.2197997782184595,0.125,0.1323529411764706
FATTY_ACID_METABOLISM,0.1,2.6078881031735865,0.125,0.1323529411764706
OXIDATIVE_PHOSPHORYLATION,0.1,-0.32087475937595455,0.125,0.1323529411764706
GLYCOLYSIS,0.1,1.789324999637106,0.125,0.1323529411764706
REACTIVE_OXYGEN_SPECIES_PATHWAY,0.1,6.6469804095733425,0.125,0.1323529411764706
P53_PATHWAY,0.1,4.850320597169411,0.125,0.1323529411764706
UV_RESPONSE_UP,0.1,2.602650987988527,0.125,0.1323529411764706
UV_RESPONSE_DN,0.1,1.753261170436486,0.125,0.1323529411764706
ANGIOGENESIS,0.1,4.19425146706743,0.125,0.1323529411764706
HEME_METABOLISM,0.1,3.2068852839552977,0.125,0.1323529411764706
COAGULATION,0.1,5.955323215927957,0.125,0.1323529411764706
IL2_STAT5_SIGNALING,0.1,3.256189366527495,0.125,0.1323529411764706
BILE_ACID_METABOLISM,0.1,2.1168388721727402,0.125,0.1323529411764706
PEROXISOME,0.1,2.698537028363561,0.125,0.1323529411764706
ALLOGRAFT_REJECTION,0.1,10.270806991403992,0.125,0.1323529411764706
SPERMATOGENESIS,0.1,0.586696871727969,0.625,0.6367924528301887
KRAS_SIGNALING_UP,0.1,7.951588045504573,0.125,0.1323529411764706
KRAS_SIGNALING_DN,0.1,2.5884411200844513,0.125,0.1323529411764706
PANCREAS_BETA_CELLS,0.1,1.9650192143076264,0.125,0.1323529411764706
clear,0.15,2.546943594393411,0.125,0.1323529411764706
elongation,0.15,1.0904925917825414,0.125,0.1323529411764706
fusion,0.15,0.20916552619377177,0.125,0.1323529411764706
initiation,0.15,-0.33579318105689465,0.25,0.25961538461538464
TNFA_SIGNALING_VIA_NFKB,0.15,4.23214121630321,0.125,0.1323529411764706
HYPOXIA,0.15,3.7447379504591605,0.125,0.1323529411764706
CHOLESTEROL_HOMEOSTASIS,0.15,1.884084612956588,0.125,0.1323529411764706
MITOTIC_SPINDLE,0.15,0.4535003264990435,0.125,0.1323529411764706
WNT_BETA_CATENIN_SIGNALING,0.15,1.320097367993196,0.125,0.1323529411764706
TGF_BETA_SIGNALING,0.15,7.347577793429295,0.125,0.1323529411764706
IL6_JAK_STAT3_SIGNALING,0.15,11.742934550541444,0.125,0.1323529411764706
DNA_REPAIR,0.15,-0.31535853754958654,0.125,0.1323529411764706
G2M_CHECKPOINT,0.15,-1.4099281807801638,0.125,0.1323529411764706
APOPTOSIS,0.15,5.420709392280429,0.125,0.1323529411764706
NOTCH_SIGNALING,0.15,3.701708238053748,0.125,0.1323529411764706
ADIPOGENESIS,0.15,4.572155058541364,0.125,0.1323529411764706
ESTROGEN_RESPONSE_EARLY,0.15,2.4989585231162676,0.125,0.1323529411764706
ESTROGEN_RESPONSE_LATE,0.15,6.884583914500029,0.125,0.1323529411764706
ANDROGEN_RESPONSE,0.15,2.7106488337441035,0.125,0.1323529411764706
MYOGENESIS,0.15,8.050164544663135,0.125,0.1323529411764706
PROTEIN_SECRETION,0.15,1.3659757048611898,0.125,0.1323529411764706
INTERFERON_ALPHA_RESPONSE,0.15,1.224283469804395,0.125,0.1323529411764706
INTERFERON_GAMMA_RESPONSE,0.15,4.0437141439907505,0.125,0.1323529411764706
APICAL_JUNCTION,0.15,4.767273862504565,0.125,0.1323529411764706
APICAL_SURFACE,0.15,2.326878990468635,0.125,0.1323529411764706
HEDGEHOG_SIGNALING,0.15,5.404148230963429,0.125,0.1323529411764706
COMPLEMENT,0.15,14.973537448280828,0.125,0.1323529411764706
UNFOLDED_PROTEIN_RESPONSE,0.15,0.8808121578089688,0.125,0.1323529411764706
PI3K_AKT_MTOR_SIGNALING,0.15,0.028998535209248794,1.0,1.0
MTORC1_SIGNALING,0.15,2.3409932899959878,0.125,0.1323529411764706
