module,gene,rho_mono_MCP,cohens_d
initiation,ULK1,0.012557271340370829,0.05665214059449018
initiation,ULK2,0.11424780945328891,0.5746518894892245
initiation,RB1CC1,-0.24998650181619403,-0.4261338539711681
initiation,BECN1,-0.020393681352585465,0.5192464550296291
initiation,PIK3C3,-0.3278415401703073,-1.5374145918308708
initiation,PIK3R4,-0.4308776909736573,-0.4449630634210708
initiation,NRBF2,-0.3167986918418612,-0.4650998041718358
initiation,AMBRA1,-0.5357203462371717,-1.9649854315610926
initiation,SH3GLB1,0.0775798900113323,0.49145944867321034
elongation,ATG3,-0.0655621374799457,0.011103860469676725
elongation,ATG4B,0.12279402690361596,0.14625168090344134
elongation,ATG5,-0.08867154658682404,-0.14253355706632576
elongation,ATG7,0.20751573491299521,0.9430987520815642
elongation,ATG10,0.3333204779230179,0.7288611912583177
elongation,ATG12,0.06161298284585957,-0.22035329771551912
elongation,ATG16L1,-0.30464495630177285,-0.2966883014787417
elongation,MAP1LC3A,0.1496976428483278,1.4803953278223239
elongation,MAP1LC3B,0.02807602122670616,0.4254000226678968
elongation,GABARAP,0.44162655806491424,0.774950125038295
elongation,GABARAPL1,-0.1627033406143412,-2.175042723314716
elongation,GABARAPL2,0.13134125741827068,0.6290323890442644
elongation,ATG9A,-0.28151827655931655,-0.26906479762480706
elongation,WIPI1,0.4564548350656813,-0.23142793270783513
elongation,WIPI2,0.12307549911754247,-0.3907336594728186
fusion,STX17,-0.29386174663725295,-1.6504786721319356
fusion,SNAP29,0.1800595467872338,1.078280273955271
fusion,VAMP8,0.46256729869904084,1.6753913685784025
fusion,VAMP7,-0.2882442324242879,-0.39971385595347053
fusion,RAB7A,-0.20896742694243534,-0.9120212952818602
fusion,PLEKHM1,-0.14756880167839076,-1.3132180500536232
fusion,VPS33A,0.06380352955695423,0.18708634799821378
fusion,VPS16,0.28541898062446014,2.218193877496315
fusion,VPS11,-0.45802833850198194,-1.370898600608211
fusion,VPS18,0.3369226498780556,0.7635622417553664
fusion,VPS39,-0.5551030482537332,-1.249438480137744
fusion,VPS41,0.3027582376897446,0.43737941624295457
fusion,LAMP1,0.2915281435278499,0.20968384490955036
fusion,LAMP2,0.26457997486266854,0.21729188650880069
clear,TFEB,0.3854466358765458,0.41516428549003903
clear,TFE3,0.03436998642478095,0.4256686441777571
clear,CTSB,0.5984820436875231,1.344307823662663
clear,CTSD,0.4514685918795508,0.47770625394203725
clear,CTSF,-0.11933851659879059,-0.5288731545512213
clear,GBA,0.041543576019192265,0.6352793750979684
clear,HEXA,0.2635443662840924,1.4749295933204114
clear,MCOLN1,0.3501172405281995,1.1140026661305684
clear,ATP6V1H,0.10960531289133346,0.7393654799643348
clear,ATP6V0E1,0.13202002360647877,0.2928238358798743
clear,ATP6V1A,0.21990481847515253,0.6764383668540102
clear,SQSTM1,-0.2757487639595476,-1.4094193211154715
clear,NBR1,-0.07534362804222496,-0.051749350855978316
