pathway,n_genes,beta,p_unadj,p_adj_LM22,p_adj_ery_mono,frac_mono_linked,frac_ery_linked,q_unadj,q_adj_LM22
WNT_BETA_CATENIN_SIGNALING,42,-0.030980957471936604,1.9911837638807874e-10,0.0004849525777083554,1.407209029158753e-06,0.5714285714285714,0.5,4.9779594097019686e-09,0.0017319734918155552
CHOLESTEROL_HOMEOSTASIS,73,-0.007068306807815977,0.37907773813966245,0.08305586063936797,0.003557062508525299,0.3972602739726027,0.4794520547945205,0.46228992456056395,0.1339610655473677
OXIDATIVE_PHOSPHORYLATION,179,0.016696977774859248,0.003009975488524685,0.03382332934693516,0.006193840283179805,0.3854748603351955,0.4748603351955307,0.007524938721311712,0.06263579508691697
MTORC1_SIGNALING,194,0.006359037880096375,0.15557530694588498,0.6561663831157523,0.5262038790415721,0.3865979381443299,0.4690721649484536,0.22878721609688968,0.7811504560901813
DNA_REPAIR,136,-0.003773871164751452,0.42308003720456444,0.9852437842900151,0.3576340869320068,0.4411764705882353,0.45588235294117646,0.5036667109578148,0.9853922455887213
APOPTOSIS,159,-0.026778199733105728,8.822561808392787e-05,3.346005356197455e-07,3.763660502155942e-07,0.4276729559748428,0.4528301886792453,0.0004411280904196394,3.346005356197455e-06
UNFOLDED_PROTEIN_RESPONSE,108,-0.009985955500370633,0.010535701047027557,0.3263000451066776,0.08660573474700094,0.4444444444444444,0.4444444444444444,0.021949377181307413,0.4409460069009157
MYC_TARGETS_V1,188,-0.005034119916022365,0.3099299562047066,0.4349615915766814,0.7464249987585172,0.3882978723404255,0.44148936170212766,0.39734609769834184,0.5723178836535282
MITOTIC_SPINDLE,193,0.02628281351053225,5.804015653896974e-06,4.176725270711308e-06,4.09854381845055e-05,0.37305699481865284,0.44041450777202074,4.836679711580812e-05,2.9833751933652205e-05
HEME_METABOLISM,187,0.023285911719596278,0.00033851000743084395,0.026074790762439085,0.0005382310404210271,0.33689839572192515,0.4385026737967914,0.0013019615670417076,0.05214958152487817
PROTEIN_SECRETION,94,-0.004978179592637091,0.27187784108880586,0.6191627012019371,0.08941615997543105,0.4148936170212766,0.43617021276595747,0.371988258925883,0.7618970501294746
INTERFERON_GAMMA_RESPONSE,194,0.008537669460761886,0.3544490224544867,0.04754260987270488,0.7240226760631889,0.422680412371134,0.42783505154639173,0.44306127806810836,0.08489751762983015
ADIPOGENESIS,185,-0.00507716398835136,0.15352133115016756,0.01584475388237219,0.022333394405514385,0.3945945945945946,0.42702702702702705,0.22878721609688968,0.034445117135591716
IL2_STAT5_SIGNALING,190,-0.0014684525833430781,0.8160448856335093,0.11716886094511503,0.027535179020160047,0.37894736842105264,0.42105263157894735,0.850046755868239,0.17752857718956822
TNFA_SIGNALING_VIA_NFKB,194,-0.06704058539391924,2.6604131473443895e-05,6.917031688192306e-07,2.2478317390182015e-07,0.422680412371134,0.4175257731958763,0.00014780073040802162,5.7641930734935885e-06
GLYCOLYSIS,192,0.022398754946747056,3.6507627258133027e-07,0.0091527680260731,0.0006182601295903108,0.4010416666666667,0.4166666666666667,3.6507627258133024e-06,0.021792304823983574
E2F_TARGETS,185,0.037263088483091227,0.0024850379079047443,0.00028421357672860504,0.001637725042789177,0.3081081081081081,0.40540540540540543,0.0069028830775131785,0.0011842232363691878
P53_PATHWAY,192,-0.007015076983540632,0.10919260141207739,0.006770400348210531,0.0029692695134296214,0.3489583333333333,0.3958333333333333,0.18198766902012897,0.017816843021606663
MYC_TARGETS_V2,56,-0.024297592933698715,0.0022477886568080412,0.08957794049051833,0.015907169432886954,0.4107142857142857,0.39285714285714285,0.006611143108258945,0.13996553201643488
G2M_CHECKPOINT,182,0.03111854752276952,0.0034383404618396293,0.0004039114312009617,0.0031797034381797584,0.3241758241758242,0.3901098901098901,0.008186524909141974,0.0015535055046190837
TGF_BETA_SIGNALING,54,-0.059219343007857445,7.057920419445973e-10,3.749134917321047e-09,1.1189350993987933e-08,0.37037037037037035,0.3888888888888889,1.1763200699076622e-08,1.39603921975667e-07
REACTIVE_OXYGEN_SPECIES_PATHWAY,44,0.0020982747306668246,0.7735965228596832,0.02742902714606517,0.07370970034710007,0.36363636363636365,0.38636363636363635,0.8229750243188119,0.052748129127048404
FATTY_ACID_METABOLISM,154,-0.0006563302390246035,0.892303230867011,0.6828522320614029,0.6798531874850552,0.36363636363636365,0.38311688311688313,0.9105135008847052,0.7940142233272127
INTERFERON_ALPHA_RESPONSE,90,0.03886684026972289,0.002818016511200281,0.8582767057128501,0.15098470816752946,0.35555555555555557,0.37777777777777777,0.007415832924211266,0.9386208694006095
UV_RESPONSE_DN,133,0.00017188965686579244,0.9754761834669701,0.86282759030648,0.15013463224655327,0.2932330827067669,0.37593984962406013,0.9754761834669701,0.9386208694006095
NOTCH_SIGNALING,32,-0.00586208943515776,0.5268625125643515,0.8635311998485607,0.067070540743567,0.40625,0.375,0.5987074006413086,0.9386208694006095
ALLOGRAFT_REJECTION,198,-0.012973113369245674,0.1300076460064873,0.0020114992120832064,0.016193836133025108,0.42424242424242425,0.37373737373737376,0.2096897516233666,0.00628593503776002
ANDROGEN_RESPONSE,95,-0.036539719481168326,3.8038464407108764e-13,3.63085166865508e-08,1.1693832555613968e-10,0.28421052631578947,0.3684210526315789,1.901923220355438e-11,4.53856458581885e-07
COMPLEMENT,193,-0.009088542600193867,0.27527131160515345,0.002001958545390742,0.00012489499425652416,0.48704663212435234,0.36787564766839376,0.371988258925883,0.00628593503776002
HYPOXIA,188,-0.017990332177207136,0.00481635310721086,5.1713483652251316e-05,1.387924068322057e-06,0.3882978723404255,0.3670212765957447,0.010946257061842863,0.0002585674182612566
UV_RESPONSE_UP,154,-0.013959364603664511,0.0007683848526574708,9.031894517674673e-06,2.7837298733179977e-06,0.34415584415584416,0.35714285714285715,0.0027442316166338245,5.6449340735466705e-05
KRAS_SIGNALING_UP,194,-0.027992438394762058,0.0010383635499806925,1.8153059026006697e-08,1.2788028291427996e-10,0.34536082474226804,0.3556701030927835,0.003461211833268975,3.025509837667783e-07
PEROXISOME,101,0.021390717288986543,2.5216217939476494e-05,0.0027897069067745472,0.0017222878817201538,0.3069306930693069,0.3465346534653465,0.00014780073040802162,0.008205020314042787
INFLAMMATORY_RESPONSE,197,-0.040103519879310746,0.0021669133478657825,9.320753737936265e-05,1.5578118701766348e-06,0.41624365482233505,0.3401015228426396,0.006611143108258945,0.00042367062445164844
ESTROGEN_RESPONSE_EARLY,189,-0.008520312738655042,0.05552873410471111,0.0714024976744535,6.857868058902544e-05,0.3544973544973545,0.328042328042328,0.10283098908279835,0.11900416279075585
PI3K_AKT_MTOR_SIGNALING,101,0.006364477071105561,0.03465181285730814,0.6247555811061692,0.0288043866993525,0.27722772277227725,0.32673267326732675,0.06930362571461628,0.7618970501294746
EPITHELIAL_MESENCHYMAL_TRANSITION,195,0.005939251311316369,0.46731068531719006,0.8900069579631795,0.007284895046227766,0.3435897435897436,0.3230769230769231,0.5433845178106862,0.9468159127267867
ESTROGEN_RESPONSE_LATE,196,0.014774552366136793,0.00923199558595736,0.9119600033603313,0.9413762849238458,0.32142857142857145,0.32142857142857145,0.020069555621646435,0.9499583368336786
ANGIOGENESIS,36,0.01801240417635332,0.2888476278595064,0.1611430814828073,0.10071439735666861,0.3888888888888889,0.3055555555555556,0.38006266823619267,0.23020440211829613
XENOBIOTIC_METABOLISM,197,0.011390521987797832,0.05174357897827152,0.9853922455887213,0.31015474369444135,0.3248730964467005,0.30456852791878175,0.09950688265052215,0.9853922455887213
APICAL_JUNCTION,191,-0.00700400575332704,0.13739439181399035,0.0035093358036599807,0.00011168354219339797,0.3298429319371728,0.3036649214659686,0.21467873720935993,0.009748155010166612
SPERMATOGENESIS,130,0.007921227073376905,0.0990828017579006,0.026018238146685746,0.0212113888764289,0.16923076923076924,0.2923076923076923,0.17083241682396655,0.05214958152487817
MYOGENESIS,199,0.003216109569015321,0.5778798803141401,0.14667279636878136,0.0008734411836301766,0.2864321608040201,0.2914572864321608,0.6281303046892827,0.21569528877761968
BILE_ACID_METABOLISM,112,0.023038329180660986,2.532238449131099e-05,0.060550534046596965,0.035698297403914045,0.3482142857142857,0.2857142857142857,0.00014780073040802162,0.1043974724941327
IL6_JAK_STAT3_SIGNALING,86,-0.020740771780826013,0.09849788254007086,0.014639235655755865,0.00021010571082723717,0.38372093023255816,0.27906976744186046,0.17083241682396655,0.03327099012671788
APICAL_SURFACE,42,-0.03833720052383929,2.1701231677051065e-08,5.58415687902668e-09,2.929104433308321e-07,0.23809523809523808,0.2619047619047619,2.712653959631383e-07,1.39603921975667e-07
HEDGEHOG_SIGNALING,35,0.02919103017651125,0.00032473083404254295,0.008454085112885876,0.07109051381694108,0.37142857142857144,0.2571428571428571,0.0013019615670417076,0.02113521278221469
COAGULATION,136,0.013474905296628654,0.2078749522728423,0.5902230991144781,0.0059667106378242345,0.3382352941176471,0.21323529411764705,0.29696421753263186,0.7566962809159976
KRAS_SIGNALING_DN,187,-0.018297520051482188,0.0001285218661691726,3.744777370919516e-05,1.662557754240011e-05,0.22459893048128343,0.20320855614973263,0.0005841903007689664,0.00020804318727330641
PANCREAS_BETA_CELLS,40,0.0030264419420354045,0.5426941970035467,0.22919885129134934,0.04735634599727678,0.15,0.075,0.602993552226163,0.31833173790465186
