gene,q_unadj,q_adj_ery_mono
TP63,1.1910334277800088e-05,0.003919736622097925
LRRK2,1.0648237674603312e-06,0.09647227870058071
TP53INP1,1.4415238424106164e-12,8.059461945672374e-07
CYB5A,7.776337529287051e-06,0.0005972871998136125
UBASH3B,2.969691220083468e-08,0.0003466599499854782
TBC1D5,3.9826148296857925e-12,1.9952873819088228e-06
CDKN2A,2.3072515283074834e-06,0.0018217266167290921
PDK4,0.0007481218069465041,0.06897568620159593
BIRC5,0.0007481218069465041,0.009859381545566965
MAPK8,1.4130440990504556e-09,0.0008447293342867489
EEF2K,6.264799489674765e-09,0.005467342368243635
GPR18,3.3652137843625026e-08,0.0003278291664369494
SNAI1,6.304526150676202e-08,8.409683646070974e-07
BIRC2,1.8677829086987753e-28,4.1186247486424735e-15
GABARAPL1,1.326999398865622e-09,1.5439183617630206e-07
TNF,4.333342408450167e-07,0.0005821273440091614
APP,5.42886460127834e-07,3.5699204315432275e-07
SIK2,1.822044262507012e-12,2.8330467280909402e-05
MAPT,1.863803316662367e-15,7.129133706464068e-08
BCL2L11,3.04425240038543e-11,2.9959608696429302e-05
LZTS1,1.9537716987928052e-13,1.5439183617630206e-07
LAPTM4B,3.415587751081688e-14,1.644286047278103e-09
CAMP,2.488761991161787e-07,9.060251450658259e-07
TBC1D4,1.735701432057492e-15,8.79955672319135e-09
CXCR3,2.805733376949021e-20,3.208002020666937e-12
MID2,2.805733376949021e-20,3.074191756327446e-13
