gene,q_unadj,q_adj_ery_mono
HBA1,2.745726480585401e-19,0.00019562808284883613
NEDD4L,6.22242978468788e-08,2.978935134189798e-06
TP63,1.3371269251584298e-05,0.004664109682544406
VLDLR,2.0869201242882186e-07,1.4821907308308367e-05
TF,2.687305298828624e-15,1.6774100267359939e-06
WWTR1,5.5451238374254276e-08,2.1772644619490227e-05
CAV1,0.000680165523325247,0.015312793772332956
CREB5,1.2869191624963109e-06,0.0426283739672366
RRM2,5.305324501425824e-05,0.004304447918445405
GPT2,1.2397415784205744e-05,0.006958793400911436
CDC25A,1.9211609989198665e-05,0.01196619005451381
CAPG,2.3121660178157187e-09,0.006135311298296053
MGST1,9.384481065013009e-05,0.36269016259668496
PEX6,9.57512304341856e-09,0.00013427545619197097
CDKN2A,2.5839129106610956e-06,0.002364741281331033
TRIB2,1.483334721389659e-07,1.4382975974888442e-06
MAPKAP1,1.3482598250127941e-14,9.116167920242795e-08
MT1G,7.869604809672573e-07,0.22788168532444786
PDK4,0.0007481218069465041,0.07461312209307251
MUC1,1.1617459865945466e-06,0.006393989148890968
STEAP3,1.9774527717603114e-05,0.2617361469693002
MAPK8,1.9870932642897033e-09,0.0010829863260086526
SLC7A5,1.1617459865945466e-06,1.0905347989875507e-05
SCD,6.22242978468788e-08,8.526696609572444e-05
PARP11,1.1718781874387247e-10,1.17700456537952e-08
STAT3,2.9883030406067495e-10,1.675862223650647e-05
SLC7A11,1.5227511560923864e-08,0.0007850854365713455
ZFP36,3.2685439749226497e-12,6.113071464225043e-09
ZEB1,9.340285474771066e-08,0.0167830217548838
AKR1C3,8.126886641441526e-05,0.2743598350017668
BNIP3,2.202727715712078e-11,1.7065951676009113e-06
IFNG,5.567348919548572e-05,0.004330058017387989
LGMN,8.13008220278556e-06,0.21737071611760667
SOCS1,5.664238471931906e-13,9.116167920242795e-08
SETD1B,4.7541131693866345e-20,2.095326929117875e-09
RBMS1,2.687305298828624e-15,6.76435914628263e-10
ENPP2,1.5198811076751236e-06,0.0039331656735071
DPP4,2.6319323033747976e-15,2.3634586658568103e-08
USP35,2.70565673734124e-29,3.8994660124990024e-17
CDKN1A,4.634074165400356e-16,1.4914126554900347e-14
SLC40A1,9.57512304341856e-09,3.883625820205669e-07
LCN2,1.5727713353766106e-07,5.101799092307228e-06
IL1B,1.0362000898493338e-06,3.9828523222982856e-05
BEX1,4.630915085561477e-15,1.3085900383355198e-09
SMAD7,6.808994185440835e-17,2.4178363218437465e-08
